Filial;Pedido;CodFornecedor;Fornecedor;CC;Valor;Vencimento
ARAGUAINA;510767;007424;CLARO S/A;140503;505,01;28/04/2026
ARAGUAINA;510768;016008;ARANET COMUNICACAO LTDA;140503;220;28/04/2026
GOIANIRA;510769;011674;TEC PRINT COPIADORA E INFORMATICA LTDA;140503;250;28/04/2026
GOIANIRA;510770;023344;SIMPLIFIQUE SERVICOS E TELECOM LTDA;140503;1000;28/04/2026
BOM DESPACHO;510771;016011;VERO S.A;140503;1152,07;28/04/2026
BOM DESPACHO;510772;008827;OI S/A-BRASIL TELECON;140503;1897,22;28/04/2026
TOLEDO;510773;012088;LIGGA TELECOMUNICACOES;140503;1570,52;28/04/2026
TOLEDO;510774;012049;LINE SERVICOS DIGITAIS LTDA;140503;190;28/04/2026
PINHAIS;510775;004643;F. PRINTER COM E LOC DE MAQUINA P/IMPRES;140503;2480;28/04/2026
MATRIZ;510776;013239;ALLSTRATEGY SOLUCOES EM INFORMATICA LTDA;140502;2500;28/04/2026
MATRIZ;510777;022033;CSM SOLUCOES EM SISTEMAS CORPORATIVOS;140502;3869,76;28/04/2026
MATRIZ;510778;013196;FURICH E CIA LTDA;140503;10314;28/04/2026
MATRIZ;510779;019170;LABSOFT TECNOLOGIA LTDA;140502;10998,17;28/04/2026
MATRIZ;510780;002080;MAIS CONSULTORIA E SERVICOS LTDA;140502;25666,2;28/04/2026
MATRIZ;510781;020362;PROSERVICE LTDA (PROATIVA);140503;7621,37;28/04/2026
MATRIZ;510782;003783;PONTO INI SISTEMAS LTDA ME;140502;23400;28/04/2026
MATRIZ;510783;023966;TECH NETWORKS BRASIL LTDA (Mundivox);140503;1281;28/04/2026
MATRIZ;510784;020061;TECHCUBE SOLUCOES EM TECNOLOGIA LTDA;140502;300;28/04/2026
MATRIZ;510785;015936;TEMPONI TECNOLOGIA LTDA;140504;12478,19;28/04/2026
MATRIZ;510786;015936;TEMPONI TECNOLOGIA LTDA;140504;5548;28/04/2026
MATRIZ;510787;005700;TOTVS SA - FILIAL BH;140502;36393,28;28/04/2026
MATRIZ;510788;005700;TOTVS SA - FILIAL BH;140502;1149,75;28/04/2026
MATRIZ;510789;005700;TOTVS SA - FILIAL BH;140502;6883,35;28/04/2026
MATRIZ;510790;005700;TOTVS SA - FILIAL BH;140502;7825,07;28/04/2026
MATRIZ;510791;019112;TRACTIAN TECNOLOGIA LTDA;140502;11180;28/04/2026
MATRIZ;510792;016977;VAULTONE SOFTWARE LTDA;140504;3900;28/04/2026
MATRIZ;510793;004643;F. PRINTER COM E LOC DE MAQUINA P/IMPRES;140503;1300;28/04/2026
MATRIZ;510794;005239;KL CONSULTORIA E DESENVOLVIMENTO LTDA -;140503;1229,86;28/04/2026
MATRIZ;510795;023451;PRIME DB SOLUTIONS LTDA;140503;15870,43;28/04/2026
MATRIZ;510796;025918;SOFTWARESULTEK;140504;3395;28/04/2026
MATRIZ;510797;011823;NETSOL TECNOLOGIA LTDA;140504;9204;28/04/2026
MATRIZ;510798;014497;VOIKKA CONSULTORIA LTDA (VEXPENSES);140502;3885;28/04/2026
MATRIZ;510960;001400;TMS TELECOMUNICACOES LTDA;140503;4441,46;28/04/2026
TOLEDO;510961;017076;DOUTOR IMPRESSAO PARANA LTDA;140503;2200,41;28/04/2026
PINHAIS;510962;004643;F. PRINTER COM E LOC DE MAQUINA P/IMPRES;140503;304,8;28/04/2026
MATRIZ;510963;004643;F. PRINTER COM E LOC DE MAQUINA P/IMPRES;140503;300,28;28/04/2026
MATRIZ;510964;004838;GREENSOFT DESENVOLVIMENTO DE SOFTWARE LT;140502;10370;28/04/2026
MATRIZ;510965;025373;STREMA TECNOLOGIA LTDA;140504;11986,64;28/04/2026
MATRIZ;510966;011790;WESTCON BRASIL LTDA (TD SYNNEX);140504;815,16;28/04/2026
MATRIZ;510967;011790;WESTCON BRASIL LTDA (TD SYNNEX);140504;1386,79;28/04/2026
MATRIZ;510968;011790;WESTCON BRASIL LTDA (TD SYNNEX);140504;1386,79;28/04/2026
MATRIZ;510969;025376;SIGMA SERVICOS DE TECNOLOGIA;140504;16235,13;28/04/2026
MATRIZ;510970;019288;T.O DO NASCIMENTO SISTEMA (BENEFACTUM);140502;16185,96;28/04/2026
MATRIZ;510971;019288;T.O DO NASCIMENTO SISTEMA (BENEFACTUM);140502;6213;28/04/2026
MATRIZ;510972;027507;HANDS FOR IT (CODE TWO);140503;2714,04;28/04/2026
TOLEDO;511020;027046;WANCLOUD.PRO;140503;4300;28/04/2026
ARAGUAINA;511037;019576;IMPRIMEMAIS SOLUCOES EM IMPRESSAO LTDA;140503;1391;28/04/2026
BOM DESPACHO;511038;002634;LOK PRINTER LOC.E VENDAS SUP. E IMPRESSA;140503;1875,25;28/04/2026
